,text,emotion,X,y,NaiveBayes,SVM
  (0, 70)	0.215106510094
  (0, 509)	0.171614083909
  (0, 3071)	0.17636108268
  (0, 1838)	0.258800278259
  (0, 949)	0.471833864436
  (0, 1975)	0.46125524395
  (0, 684)	0.388519257
  (0, 2865)	0.484541240817",neutral,neutral,neutral
518,new podcast w NYC founder gupta CEO of  the startup thats making better maps for SelfDrivingCars ,neutral,"  (0, 3078)	0.0518545985522
  (0, 2309)	0.198342571558
  (0, 350)	0.26814118781
  (0, 1364)	0.357738637264
  (0, 3295)	0.261278996471
  (0, 2353)	0.343075759797
  (0, 2549)	0.317910711899
  (0, 1532)	0.357738637264
  (0, 535)	0.250581507376
  (0, 3483)	0.331971698694
  (0, 2111)	0.270676359131
  (0, 2122)	0.311160504355",neutral,neutral,neutral
520,Waymos autonomous cars dont need humans in the  Google DriverlessCars AutonomousVehicles SelfDrivingCars,positive,"  (0, 3078)	0.0751625036443
  (0, 252)	0.256784194629
  (0, 509)	0.180870531122
  (0, 1661)	0.324712815085
  (0, 264)	0.26770850921
  (0, 2296)	0.339491253806
  (0, 1478)	0.232077213462
  (0, 1018)	0.304379750224
  (0, 3816)	0.537736999591
  (0, 978)	0.409475042864",positive,positive,positive
522,Waymo rolls out autonomous vans without human drivers  Waymo vans selfdrivingcars autonomousdriving,positive,"  (0, 3078)	0.0467468468565
  (0, 252)	0.159705316341
  (0, 256)	0.238865103163
  (0, 1657)	0.217661455271
  (0, 1020)	0.199470114019
  (0, 3815)	0.443152315909
  (0, 2946)	0.322500872782
  (0, 3736)	0.726427410823",positive,positive,positive
524,Another State is Going to Unleash SelfDrivingCars   via ,positive,"  (0, 3078)	0.0956980548961
  (0, 1464)	0.490422136599
  (0, 3299)	0.582348007014
  (0, 3661)	0.641247852979",positive,positive,positive
526,DMV balances vehicle safety with tech development as selfdrivingcars hit the road in  ,positive,"  (0, 3078)	0.0748401197696
  (0, 2980)	0.338035122085
  (0, 965)	0.323320070426
  (0, 3427)	0.246912018853
  (0, 3744)	0.347152663036
  (0, 2914)	0.299481242995
  (0, 302)	0.470250693287
  (0, 908)	0.388197186137
  (0, 1613)	0.364133277104",positive,positive,positive
528,Saw an  Range Rover pass through Witney earlier Exciting stuff SelfDrivingCars,positive,"  (0, 3078)	0.0524753455294
  (0, 3001)	0.368243013833
  (0, 2744)	0.407723001104
  (0, 2954)	0.407723001104
  (0, 2470)	0.375425690861
  (0, 1048)	0.375425690861
  (0, 1206)	0.351623684427
  (0, 3348)	0.351623684427",positive,positive,positive
530,The Driverless Car Is a Great Opportunity for Healthcare ,positive,"  (0, 492)	0.262407461403
  (0, 2413)	0.538952170204
  (0, 1016)	0.310079197832
  (0, 1503)	0.440866046885
  (0, 1581)	0.59174394987",positive,positive,positive
532,Our Driverless Future Begins As Waymo Transitions To RobotOnly Chauffeurs via   SelfDrivingCars  robot,positive,"  (0, 3078)	0.0731732389005
  (0, 1396)	0.241978880262
  (0, 2930)	0.398637800532
  (0, 1016)	0.264526786622
  (0, 3815)	0.346835053719
  (0, 329)	0.513489406364
  (0, 560)	0.568541517241",positive,positive,positive
534,First US Public Trial of SelfDrivingCars Planned for Phoenix autonomousvehicles waymo | EfficientGov ,positive,"  (0, 3078)	0.0718522872375
  (0, 264)	0.255918413664
  (0, 3815)	0.340573852932
  (0, 2687)	0.341991707034
  (0, 2515)	0.451476934988
  (0, 3582)	0.488185632822
  (0, 2536)	0.504219696625",positive,positive,positive
536,Waymo testing selfdrivingcars in Phoenix with backup driver in backseat only compliance AI transportation ,positive,"  (0, 3078)	0.0592941790169
  (0, 70)	0.178846013508
  (0, 3475)	0.234571807237
  (0, 3576)	0.267817784159
  (0, 3815)	0.281049466629
  (0, 294)	0.424209843629
  (0, 659)	0.445557545789
  (0, 1013)	0.289165486318
  (0, 2515)	0.372569270017
  (0, 292)	0.397314919619",positive,positive,positive
538,Google is disrupting the ultimate disrupter that is Uber WebSummit innovation SelfDrivingCars  ,positive,"  (0, 3078)	0.0708436500863
  (0, 3624)	0.242029319807
  (0, 1478)	0.218742007069
  (0, 1768)	0.327393178537
  (0, 953)	0.532344378327
  (0, 3638)	0.532344378327
  (0, 3822)	0.463235957493",positive,positive,positive
540,In a selfdriving car first ride with Waymo and theres no driver SelfDrivingCars   via ,positive,"  (0, 3078)	0.0843933747774
  (0, 3071)	0.208701110515
  (0, 492)	0.258183972961
  (0, 3815)	0.400017562626
  (0, 1013)	0.411569089313
  (0, 2889)	0.47379256171
  (0, 3492)	0.573393480649",positive,positive,positive
542,Tencent is the latest tech company working on autonomous cars  via  SelfDrivingCars,neutral,"  (0, 3078)	0.0784433522811
  (0, 252)	0.267992843012
  (0, 509)	0.188765542686
  (0, 3427)	0.258799779276
  (0, 649)	0.43264132725
  (0, 1955)	0.406887224666
  (0, 3886)	0.427348657646
  (0, 3450)	0.532967272809",neutral,neutral,neutral
544,Driverless taxis are finally here well if you live in Phoenix Arizona anyway ,positive,"  (0, 2038)	0.426859637541
  (0, 1016)	0.265197776641
  (0, 168)	0.424490701924
  (0, 2515)	0.460943263053
  (0, 1309)	0.424490701924
  (0, 3414)	0.417860724775",positive,positive,positive
546,DMV balances vehicle safety with tech development as selfdrivingcars hit the road in  ,positive,"  (0, 3078)	0.0748401197696
  (0, 2980)	0.338035122085
  (0, 965)	0.323320070426
  (0, 3427)	0.246912018853
  (0, 3744)	0.347152663036
  (0, 2914)	0.299481242995
  (0, 302)	0.470250693287
  (0, 908)	0.388197186137
  (0, 1613)	0.364133277104",positive,positive,positive
548,UTurn Traversal AI Techniques for SelfDriving Cars By ,positive,"  (0, 70)	0.342690227847
  (0, 509)	0.273401625507
  (0, 3071)	0.280964158549
  (0, 3434)	0.853741237448",positive,positive,positive
550,DMV balances vehicle safety with tech development as selfdrivingcars hit the road in  ,positive,"  (0, 3078)	0.0748401197696
  (0, 2980)	0.338035122085
  (0, 965)	0.323320070426
  (0, 3427)	0.246912018853
  (0, 3744)	0.347152663036
  (0, 2914)	0.299481242995
  (0, 302)	0.470250693287
  (0, 908)	0.388197186137
  (0, 1613)	0.364133277104",positive,positive,positive
552, enters new phase of fully selfdriving testing via   SiliconDesert SelfDrivingCars waymo,positive,"  (0, 3078)	0.0723578810749
  (0, 2309)	0.276767125878
  (0, 3071)	0.178937863009
  (0, 3475)	0.28625270158
  (0, 2510)	0.499188316828
  (0, 3815)	0.342970325582
  (0, 1386)	0.376500692311
  (0, 1144)	0.543722848427",positive,positive,positive
554,Transport Minister on new insurance framework for SelfDrivingCars  insurancenews with e ,positive,"  (0, 3078)	0.0658231101463
  (0, 2309)	0.251771786859
  (0, 3574)	0.380885184067
  (0, 1785)	0.295827666119
  (0, 2191)	0.511432478245
  (0, 1367)	0.454105718329
  (0, 1786)	0.48157613189",positive,positive,positive
556,RT  DMV balances vehicle safety with tech development as selfdrivingcars hit the road in  ht,positive,"  (0, 3078)	0.0656305879419
  (0, 2959)	0.179249681548
  (0, 2980)	0.296437844778
  (0, 965)	0.283533569706
  (0, 3427)	0.216527993504
  (0, 3744)	0.304433416873
  (0, 2914)	0.26262825495
  (0, 302)	0.412383485964
  (0, 908)	0.340427161822
  (0, 1613)	0.319324463124
  (0, 1643)	0.445913572675",positive,positive,positive
558,RT  DMV balances vehicle safety with tech development as selfdrivingcars hit the road in  ht,positive,"  (0, 3078)	0.0656305879419
  (0, 2959)	0.179249681548
  (0, 2980)	0.296437844778
  (0, 965)	0.283533569706
  (0, 3427)	0.216527993504
  (0, 3744)	0.304433416873
  (0, 2914)	0.26262825495
  (0, 302)	0.412383485964
  (0, 908)	0.340427161822
  (0, 1613)	0.319324463124
  (0, 1643)	0.445913572675",positive,positive,positive
560,This is very exciting As a Chandler AZ resident I cant wait to hail my first self driving ride SelfDrivingCars  ,positive,"  (0, 3078)	0.0566747006345
  (0, 3062)	0.249915741562
  (0, 1024)	0.213346834812
  (0, 1206)	0.379762474165
  (0, 2889)	0.31817724636
  (0, 545)	0.440351155314
  (0, 285)	0.40546924323
  (0, 3792)	0.301882997932
  (0, 1548)	0.440351155314",positive,positive,positive
562,RT  This is the only person at the NYT who should be allowed to write about SelfDrivingCars or car tech in general httpst,neutral,"  (0, 3078)	0.060871235859
  (0, 2959)	0.166250981217
  (0, 492)	0.186222882478
  (0, 3427)	0.200825971181
  (0, 1438)	0.367780469689
  (0, 2504)	0.36286342234
  (0, 2355)	0.407882368614
  (0, 97)	0.382478554979
  (0, 3902)	0.402730829574
  (0, 1649)	0.389695960126",neutral,neutral,neutral
564,How to design streets for humans and SelfDrivingCars  urbanplanning,positive,"  (0, 3078)	0.0869550260359
  (0, 1661)	0.375658206165
  (0, 3337)	0.45389744618
  (0, 883)	0.490478902404
  (0, 3677)	0.636181805961",positive,positive,positive
566,DMV balances vehicle safety with tech development as selfdrivingcars hit the road in  ,positive,"  (0, 3078)	0.0748401197696
  (0, 2980)	0.338035122085
  (0, 965)	0.323320070426
  (0, 3427)	0.246912018853
  (0, 3744)	0.347152663036
  (0, 2914)	0.299481242995
  (0, 302)	0.470250693287
  (0, 908)	0.388197186137
  (0, 1613)	0.364133277104",positive,positive,positive
568,Waymo now testing its SelfDrivingCars on public roads with no one at thewheel ,positive,"  (0, 3078)	0.0850033865711
  (0, 3475)	0.336279181867
  (0, 2919)	0.342721993791
  (0, 3815)	0.402908967686
  (0, 2687)	0.404586331136
  (0, 3493)	0.660459412456",positive,positive,positive
570,Even imperfect selfdriving cars will save lives So why wait ,positive,"  (0, 509)	0.206686219756
  (0, 3071)	0.212403345115
  (0, 2998)	0.429333852437
  (0, 2041)	0.432775004103
  (0, 1714)	0.575529725757
  (0, 3792)	0.457503441836",positive,positive,positive
572,RT l By  fully autonomousvehicles  selfdrivingcars to be worth  billionautonomous ai ml transformation tech,positive,"  (0, 3078)	0.0648370746299
  (0, 2959)	0.177082445006
  (0, 70)	0.195564767357
  (0, 264)	0.23093212372
  (0, 3427)	0.213910039731
  (0, 1386)	0.337367583503
  (0, 3899)	0.400616552658
  (0, 364)	0.454990806234
  (0, 2208)	0.381704017441
  (0, 3567)	0.447303177922",positive,positive,positive
574,RT l By  fully autonomousvehicles  selfdrivingcars to be worth  billionautonomous ai ml transformation tech,positive,"  (0, 3078)	0.0648370746299
  (0, 2959)	0.177082445006
  (0, 70)	0.195564767357
  (0, 264)	0.23093212372
  (0, 3427)	0.213910039731
  (0, 1386)	0.337367583503
  (0, 3899)	0.400616552658
  (0, 364)	0.454990806234
  (0, 2208)	0.381704017441
  (0, 3567)	0.447303177922",positive,positive,positive
576,RT l By  fully autonomousvehicles  selfdrivingcars to be worth  billionautonomous ai ml transformation tech,positive,"  (0, 3078)	0.0648370746299
  (0, 2959)	0.177082445006
  (0, 70)	0.195564767357
  (0, 264)	0.23093212372
  (0, 3427)	0.213910039731
  (0, 1386)	0.337367583503
  (0, 3899)	0.400616552658
  (0, 364)	0.454990806234
  (0, 2208)	0.381704017441
  (0, 3567)	0.447303177922",positive,positive,positive
578,No safety net or driver   waymo AutonomousVehicles Tesla ElonMusk SelfDrivingCars,positive,"  (0, 3078)	0.0718245839972
  (0, 2980)	0.324414660144
  (0, 264)	0.255819742215
  (0, 3463)	0.301341062307
  (0, 3815)	0.340442541882
  (0, 1013)	0.350273688
  (0, 2301)	0.558062736795
  (0, 1109)	0.428158127391",positive,positive,positive
580,Waymo testing selfdrivingcars on public roads with no one at thewheel  via  autonomousvehicles,positive,"  (0, 3078)	0.0813564372819
  (0, 264)	0.28976962559
  (0, 3475)	0.321851602299
  (0, 2919)	0.32801799455
  (0, 3815)	0.385622732013
  (0, 2687)	0.387228130571
  (0, 3493)	0.632123341601",positive,positive,positive
582,More reasons why  should lead on selfdrivingcars via  ,positive,"  (0, 3078)	0.117313579149
  (0, 1974)	0.678834593023
  (0, 2773)	0.724859379095",positive,neutral,neutral
584, SelfDriving Milepost Humans Take a Backseat Robots Technology SelfDrivingCars TopStory TheFutureIsNow ,positive,"  (0, 3078)	0.0791577246124
  (0, 1661)	0.3419727437
  (0, 3071)	0.195753577529
  (0, 3439)	0.298758831799
  (0, 292)	0.530415388374
  (0, 2938)	0.41188240556
  (0, 3488)	0.546099619367",positive,positive,positive
586,Even imperfect selfdriving cars will save lives So why wait  selfdrivingcars transport,neutral,"  (0, 3078)	0.0766881891436
  (0, 509)	0.1845419302
  (0, 3574)	0.443755923608
  (0, 3071)	0.18964652474
  (0, 2998)	0.383335173106
  (0, 2041)	0.386407640982
  (0, 1714)	0.513867671507
  (0, 3792)	0.408486682514",neutral,positive,positive
588,begun testing AutonomousVehicles  on public roads without human safety drivers at the wheel andearly next year w ,positive,"  (0, 1657)	0.296223297218
  (0, 2980)	0.287354073388
  (0, 264)	0.226595323855
  (0, 3475)	0.251682928836
  (0, 2919)	0.256504951318
  (0, 1020)	0.271466047112
  (0, 3922)	0.342600917697
  (0, 2687)	0.302806353406
  (0, 3841)	0.349415255775
  (0, 330)	0.494310585573",positive,positive,positive
590,SelfDrivingCars can increase opportunities for people with disabilities ,positive,"  (0, 3078)	0.0817199435014
  (0, 1737)	0.513479403898
  (0, 2412)	0.523168806987
  (0, 2493)	0.371633834606
  (0, 935)	0.563776059245",positive,positive,positive
592,Did you know the Phoenix area is a hub for SelfDrivingCars Pumped about this discussion at StateoftheState f ,positive,"  (0, 3078)	0.0584649789182
  (0, 944)	0.333023475879
  (0, 912)	0.367359070963
  (0, 1923)	0.316036666373
  (0, 2515)	0.367359070963
  (0, 162)	0.355774879542
  (0, 1653)	0.427742449968
  (0, 2695)	0.454261261618",positive,positive,positive
594,The Verge Waymo is first to put fully selfdriving cars on US roads without a safety driver  SelfDrivingCars,positive,"  (0, 3078)	0.0765879462401
  (0, 509)	0.184300706368
  (0, 2980)	0.345929640909
  (0, 3071)	0.189398628441
  (0, 2919)	0.308792092816
  (0, 3751)	0.528371027523
  (0, 3815)	0.363020481907
  (0, 1386)	0.398511044737
  (0, 1013)	0.373503623591",positive,positive,positive
596, billions of miles in real life waymo SelfDrivingCars google ,positive,"  (0, 3078)	0.077577805524
  (0, 1478)	0.239534875231
  (0, 2016)	0.448903685512
  (0, 2763)	0.406261325272
  (0, 3815)	0.367712332413
  (0, 365)	0.501755863812
  (0, 2183)	0.427867547358",positive,positive,positive
598,Big news in selfdrivingcars  mobility  driverless taxi in PHX FfT CA possible in  w new state regs ,positive,"  (0, 3078)	0.057163664503
  (0, 2309)	0.218649619007
  (0, 2217)	0.265158826873
  (0, 356)	0.28144750397
  (0, 1016)	0.206650965705
  (0, 3299)	0.347856036709
  (0, 3412)	0.318021082335
  (0, 2312)	0.268236019558
  (0, 469)	0.383038894268
  (0, 2580)	0.362458241928
  (0, 2808)	0.429548102133",positive,positive,positive
600,DMV balances vehicle safety with tech development as selfdrivingcars hit the road in  ,positive,"  (0, 3078)	0.0748401197696
  (0, 2980)	0.338035122085
  (0, 965)	0.323320070426
  (0, 3427)	0.246912018853
  (0, 3744)	0.347152663036
  (0, 2914)	0.299481242995
  (0, 302)	0.470250693287
  (0, 908)	0.388197186137
  (0, 1613)	0.364133277104",positive,positive,positive
602,SelfDrivingCars only have to be moderately better than humans before they could start saving lives ,positive,"  (0, 3078)	0.0812976945068
  (0, 350)	0.42039203812
  (0, 3291)	0.390268099787
  (0, 1661)	0.351217721114
  (0, 2041)	0.409633487274
  (0, 3000)	0.610899785498",positive,positive,positive
604,Waymo is first to put fully selfdriving cars on US roads without a safety driver   SelfDrivingCars Waymo,positive,"  (0, 3078)	0.072492678781
  (0, 509)	0.174445882958
  (0, 2980)	0.327432286285
  (0, 3071)	0.179271211818
  (0, 2919)	0.292280536215
  (0, 3815)	0.687218510948
  (0, 1386)	0.377202086948
  (0, 1013)	0.353531848518",positive,positive,positive
606,By  fully autonomousvehicles  selfdrivingcars to be worth  billionautonomous ai ml transformation ,positive,"  (0, 3078)	0.06749160906
  (0, 70)	0.203571504417
  (0, 264)	0.240386857404
  (0, 1386)	0.351179956611
  (0, 3899)	0.417018440596
  (0, 364)	0.473618863829
  (0, 2208)	0.397331595678
  (0, 3567)	0.465616491614",positive,positive,positive
608, launching ridehailing service in Phoenix with no human behind wheel selfdrivingcars autonomousvehicles ,positive,"  (0, 3078)	0.0644637398529
  (0, 1657)	0.300154392695
  (0, 264)	0.229602406218
  (0, 3116)	0.398309784621
  (0, 3841)	0.354052246668
  (0, 2515)	0.405051708242
  (0, 1959)	0.484403464175
  (0, 2890)	0.412695070845",positive,positive,positive
610,selfdrivingcars could make jaywalking legal ,positive,"  (0, 3078)	0.0909622857342
  (0, 2105)	0.413664787364
  (0, 1872)	0.706758874147
  (0, 1990)	0.566656156839",positive,positive,positive
612,Selfdrivingcars are the future but  year fleet changeover Role of the road in transition Innov this wk ,positive,"  (0, 3078)	0.0545336912805
  (0, 1396)	0.180339175235
  (0, 1326)	0.325084279489
  (0, 3922)	0.293672588756
  (0, 2914)	0.218222762071
  (0, 1766)	0.365416125611
  (0, 548)	0.42371593833
  (0, 2942)	0.352711696219
  (0, 3571)	0.345782343368
  (0, 3872)	0.409785548136",positive,positive,positive
614,Fully selfdriving cars are here  k  CEO at WebSummit ,positive,"  (0, 509)	0.234740207963
  (0, 3071)	0.24123333168
  (0, 1386)	0.507575729691
  (0, 535)	0.471392479991
  (0, 3822)	0.637855409077",positive,positive,positive
616,Autonomousdriving technology moving faster than consumer trust of selfdrivingcars What a PR pro to do ,positive,"  (0, 3078)	0.0610427555031
  (0, 256)	0.311913745442
  (0, 3601)	0.336671215493
  (0, 3439)	0.230388915462
  (0, 2594)	0.353223679557
  (0, 1269)	0.387054434568
  (0, 2254)	0.380270273081
  (0, 699)	0.368816781411
  (0, 2630)	0.421126626726",positive,positive,positive
618,RT else Fun Why these German researchers became selfdriving cars  ia  SelfDrivingCars drive,neutral,"  (0, 2853)	0.414304493262
  (0, 3078)	0.0719861373942
  (0, 2959)	0.196607902023
  (0, 509)	0.173226945254
  (0, 3071)	0.178018557208
  (0, 1679)	0.496623701896
  (0, 1387)	0.438054709572
  (0, 1442)	0.434936058852
  (0, 1010)	0.308416162552",neutral,neutral,neutral
620,RT  This is the only person at the NYT who should be allowed to write about SelfDrivingCars or car tech in general httpst,neutral,"  (0, 3078)	0.060871235859
  (0, 2959)	0.166250981217
  (0, 492)	0.186222882478
  (0, 3427)	0.200825971181
  (0, 1438)	0.367780469689
  (0, 2504)	0.36286342234
  (0, 2355)	0.407882368614
  (0, 97)	0.382478554979
  (0, 3902)	0.402730829574
  (0, 1649)	0.389695960126",neutral,neutral,neutral
622,Researchers say SelfDrivingCars that crash are better than no selfdriving cars at all ,positive,"  (0, 2853)	0.491169707737
  (0, 3078)	0.0853416041584
  (0, 509)	0.205365448495
  (0, 350)	0.441303177491
  (0, 3071)	0.211046040142
  (0, 3002)	0.505510195318
  (0, 748)	0.463103312742",positive,positive,positive
624,Googles Waymo is coming to consumers  Mkm already driven without a driver Highly interesting ,positive,"  (0, 1801)	0.326069592832
  (0, 635)	0.30895312488
  (0, 3815)	0.305055228744
  (0, 1013)	0.313864476
  (0, 1482)	0.321705107027
  (0, 700)	0.337035586208
  (0, 1012)	0.394571445913
  (0, 1601)	0.483614719783",positive,positive,positive
626, Waymo tests first fully Autonomous car on city streets SelfDrivingCars AutonomousDriving  ,positive,"  (0, 3078)	0.075611135846
  (0, 252)	0.258316895817
  (0, 256)	0.386354652317
  (0, 586)	0.348146524123
  (0, 3337)	0.394683355613
  (0, 492)	0.231316540004
  (0, 3815)	0.358390482052
  (0, 1386)	0.393428394663
  (0, 3476)	0.405669182483",positive,positive,positive
628,Waymo is first to put fully selfdriving cars on US roads without a safety driver ,positive,"  (0, 509)	0.217964933991
  (0, 2980)	0.409116887464
  (0, 3071)	0.223994038655
  (0, 2919)	0.365195822926
  (0, 3815)	0.429329528551
  (0, 1386)	0.471302770743
  (0, 1013)	0.441727512965",positive,positive,positive
630,Here are just  reasons k from Waymo gave at websummit why not everyone needs a car ,positive,"  (0, 492)	0.202310374584
  (0, 1430)	0.464062460316
  (0, 3815)	0.31344975448
  (0, 1895)	0.308502023909
  (0, 3822)	0.43241282124
  (0, 2773)	0.408604087209
  (0, 2298)	0.443118663413",positive,positive,positive
632,Waymo is first to put fully selfdriving cars on US roads without a safety driver  via  selfdrivingcars Waymo,positive,"  (0, 3078)	0.072492678781
  (0, 509)	0.174445882958
  (0, 2980)	0.327432286285
  (0, 3071)	0.179271211818
  (0, 2919)	0.292280536215
  (0, 3815)	0.687218510948
  (0, 1386)	0.377202086948
  (0, 1013)	0.353531848518",positive,positive,positive
634,RT  We are not creating a better car we are building a better and safer driver k Waymo selfdrivingcars WebSummit,positive,"  (0, 3078)	0.0553543637116
  (0, 2959)	0.151183348782
  (0, 350)	0.572477089804
  (0, 492)	0.169345159871
  (0, 3815)	0.262375070449
  (0, 1013)	0.26995181935
  (0, 3822)	0.361953846875
  (0, 759)	0.381883096074
  (0, 449)	0.329976442475
  (0, 2978)	0.300378572238",positive,positive,positive
636,John Krafcik   insights into future of SelfDrivingCars to ease congestion for shared mobility saving the e ,positive,"  (0, 3078)	0.0527534976745
  (0, 1396)	0.174452197128
  (0, 2217)	0.244701869245
  (0, 1051)	0.377415681783
  (0, 3132)	0.344947175599
  (0, 3000)	0.396408540355
  (0, 1884)	0.328631740185
  (0, 1930)	0.370194932075
  (0, 1780)	0.370194932075
  (0, 680)	0.325954317027",positive,positive,positive
638,RT ard AI can now autonomously drive a car Will it be so surprising when it can detect fake news  WebSummit SelfDrivingCars,positive,"  (0, 3078)	0.0582287946278
  (0, 2959)	0.159033969088
  (0, 70)	0.175632548814
  (0, 492)	0.178138883264
  (0, 1260)	0.287395178575
  (0, 2312)	0.273234059265
  (0, 3822)	0.380749317691
  (0, 1010)	0.249474441041
  (0, 257)	0.437551868645
  (0, 3378)	0.437551868645
  (0, 895)	0.401713449169",positive,positive,positive
640,Oops there is no one on the front seat SelfDrivingCars  websummit lisbon ,positive,"  (0, 3078)	0.085246225542
  (0, 3031)	0.493276969661
  (0, 3822)	0.557412229093
  (0, 2394)	0.662346222977",positive,positive,positive
642,selfdrivingcars a huge step towards our dailyusage ,positive,"  (0, 3078)	0.0880256605253
  (0, 3310)	0.521408863636
  (0, 1655)	0.531845925515
  (0, 801)	0.661456114586",positive,positive,positive
644,selfdrivingcars a huge step towards our dailyusage ,positive,"  (0, 3078)	0.0880256605253
  (0, 3310)	0.521408863636
  (0, 1655)	0.531845925515
  (0, 801)	0.661456114586",positive,positive,positive
646,selfdrivingcars a huge step towards our dailyusage ,positive,"  (0, 3078)	0.0880256605253
  (0, 3310)	0.521408863636
  (0, 1655)	0.531845925515
  (0, 801)	0.661456114586",positive,positive,positive
648,We are not creating a better car we are building a better and safer driver k Waymo selfdrivingcars ,positive,"  (0, 3078)	0.0601772786871
  (0, 350)	0.622355873417
  (0, 492)	0.184099864881
  (0, 3815)	0.285235285464
  (0, 1013)	0.29347218134
  (0, 759)	0.41515580629
  (0, 449)	0.3587266298
  (0, 2978)	0.326549956339",positive,positive,positive
650,AI can now autonomously drive a car Will it be so surprising when it can detect fake news  WebSummit ,positive,"  (0, 70)	0.178206841926
  (0, 492)	0.180749912388
  (0, 1260)	0.29160760636
  (0, 2312)	0.277238923747
  (0, 3822)	0.386330061992
  (0, 1010)	0.253131054462
  (0, 257)	0.443965183085
  (0, 3378)	0.443965183085
  (0, 895)	0.407601470337",positive,positive,positive
652,Really liked the chat about ICOs at the  but even more excited listening to John Krafcik from  talk about selfdrivingcars,positive,"  (0, 3078)	0.0589385214334
  (0, 557)	0.385390114374
  (0, 3401)	0.332448883289
  (0, 1884)	0.367161794315
  (0, 1930)	0.413598015307
  (0, 2768)	0.318596434642
  (0, 1205)	0.346978492499
  (0, 2034)	0.457940592806",positive,neutral,positive
654,RT p Rules for SelfDrivingCars are stuck in park ,negative,"  (0, 3078)	0.0893334319013
  (0, 2959)	0.243986679414
  (0, 2964)	0.474172707998
  (0, 3344)	0.59860016453
  (0, 2461)	0.591039866869",negative,positive,negative
656,RT  Portugal selfdrivingcars f Portugal Aiming To Introduce Free Zones For SelfDriving Vehicles  Drones ,positive,"  (0, 3078)	0.0467683596018
  (0, 2959)	0.127733330267
  (0, 3071)	0.11565609992
  (0, 3745)	0.196465244191
  (0, 2574)	0.669192114384
  (0, 74)	0.351434084597
  (0, 1813)	0.317758029787
  (0, 1369)	0.269167679041
  (0, 3947)	0.342167449424
  (0, 1036)	0.260188433841",positive,positive,positive
658,Portugal selfdrivingcars f Portugal Aiming To Introduce Free Zones For SelfDriving Vehicles  Drones ,positive,"  (0, 3078)	0.0471546244337
  (0, 3071)	0.11661131589
  (0, 3745)	0.198087871436
  (0, 2574)	0.674719042884
  (0, 74)	0.354336615897
  (0, 1813)	0.320382426986
  (0, 1369)	0.271390763391
  (0, 3947)	0.344993446604
  (0, 1036)	0.262337357654",positive,positive,positive
660,Tencent is reportedly testing its own autonomous ,neutral,"  (0, 252)	0.312331675999
  (0, 3475)	0.361670206653
  (0, 3450)	0.62114554888
  (0, 2844)	0.62114554888",neutral,positive,neutral
662,TO SAVE THE MOST LIVES DEPLOY IMPERFECT SELFDRIVING CARS ASAP   selfdriving SelfDrivingCars,negative,"  (0, 3078)	0.0657612081098
  (0, 509)	0.158247318295
  (0, 3071)	0.32524916079
  (0, 2998)	0.328715339037
  (0, 2041)	0.331350023747
  (0, 1714)	0.44064880478
  (0, 181)	0.470477073326
  (0, 875)	0.481123243183",negative,positive,negative
664,RT m Top UX Articles of the week  UX for IoT UX for SelfDrivingCars tips to hold user attention UserExperience https,positive,"  (0, 3078)	0.0373307967308
  (0, 2959)	0.10195754199
  (0, 1616)	0.228868036699
  (0, 1838)	0.135470785035
  (0, 1648)	0.216014517585
  (0, 3524)	0.232554905986
  (0, 3726)	0.71011131304
  (0, 177)	0.253636443967
  (0, 3826)	0.209578700465
  (0, 3689)	0.273120195172
  (0, 201)	0.241447228804
  (0, 3690)	0.267076662605",positive,neutral,neutral
666,RT else Fun Why these German researchers became selfdriving cars  ia  SelfDrivingCars drive,neutral,"  (0, 2853)	0.414304493262
  (0, 3078)	0.0719861373942
  (0, 2959)	0.196607902023
  (0, 509)	0.173226945254
  (0, 3071)	0.178018557208
  (0, 1679)	0.496623701896
  (0, 1387)	0.438054709572
  (0, 1442)	0.434936058852
  (0, 1010)	0.308416162552",neutral,neutral,neutral
668,Limited breakthrough for autonomous vehicles  AutonomousCar SelfDrivingCars DriverlessCars VX ConnectedCars,negative,"  (0, 3078)	0.0614964477622
  (0, 252)	0.210095660011
  (0, 3745)	0.258335223414
  (0, 686)	0.335024238982
  (0, 1018)	0.249037385691
  (0, 2025)	0.477815171789
  (0, 421)	0.439965590577
  (0, 253)	0.294573908955
  (0, 3789)	0.449921332682",negative,positive,positive
670,Driverless cars and product liability  AutonomousCars Tech SelfDrivingCars DriverlessCars VX ConnectedCars,neutral,"  (0, 3078)	0.0659887331026
  (0, 509)	0.158794832871
  (0, 254)	0.24288260754
  (0, 3427)	0.217709583604
  (0, 686)	0.359497595285
  (0, 1018)	0.267229444544
  (0, 1016)	0.238554255397
  (0, 3789)	0.482787865315
  (0, 2638)	0.463072509796
  (0, 2009)	0.398700090645",neutral,positive,neutral
672,RT  This is the only person at the NYT who should be allowed to write about SelfDrivingCars or car tech in general httpst,neutral,"  (0, 3078)	0.060871235859
  (0, 2959)	0.166250981217
  (0, 492)	0.186222882478
  (0, 3427)	0.200825971181
  (0, 1438)	0.367780469689
  (0, 2504)	0.36286342234
  (0, 2355)	0.407882368614
  (0, 97)	0.382478554979
  (0, 3902)	0.402730829574
  (0, 1649)	0.389695960126",neutral,neutral,neutral
